UniProtID	GeneSymbol	P value	FDR	Log2 FC	FDR2
B3KUN1	PPP2CA	4.88E-06	1.66E-05	0.391323765	4.779891912
B3KV61	UXS1	0.013637659	0.016963517	-1.816941482	1.770484102
B3KVE3		0.001509127	0.002614581	-0.722504788	2.582597899
B3KVQ9	PPP1R1B	2.04E-06	7.57E-06	-1.2580678	5.12090412
B3KW70	MFAP5	5.83E-26	6.45E-24	-2.12958691	23.19044029
B3VL12		2.30E-07	1.05E-06	-1.772223221	5.978810701
B4DDE7		0.00608996	0.008565837	-1.435634395	2.067230194
B4DDF4	CNN2	0.029635708	0.032478638	-2.615928998	1.488402191
B4DDL8	ST5	0.026380294	0.02960025	0.650878562	1.528704621
B4DDT6		0.00345646	0.005281934	0.219911721	2.27720703
B4DE59		0.000277497	0.000597158	-0.549530615	3.223910745
B4DH07		0.024504388	0.027871265	-1.366620105	1.554843319
B4DH45		0.023477946	0.026851762	-1.823534333	1.571027211
B4DI03	SEC11C	4.46E-11	4.11E-10	-0.864608925	9.386158178
B4DJ49		0.001710179	0.002907587	0.442328101	2.536467282
B4DJ51	CALM1	4.09E-14	6.52E-13	-0.618959985	12.1857524
B4DJV6		1.82E-09	1.26E-08	0.932080211	7.899629455
B4DL14		1.82E-07	8.61E-07	-0.557597669	6.064996849
B4DLC0		0.000127448	0.000303755	0.404527118	3.517476565
B4DLX6		0.026161662	0.02943187	-0.410470729	1.531182143
B4DP06		0.010002903	0.013006715	0.574449114	1.885832376
B4DPP8		1.06E-10	9.24E-10	-0.770087592	9.034328029
B4DPR2		1.08E-15	2.13E-14	-1.118869842	13.6716204
B4DRH7		0.000852053	0.001584359	-0.616763165	2.800146405
B4DRT3		0.01456293	0.017938889	-0.833063744	1.746204457
B4DTF2	ANXA8L1	0.000584719	0.00114939	-0.603807252	2.939532586
B4DTK1		0.009432574	0.012384425	0.170617643	1.907124153
B4DUE4		0.002745868	0.004339565	-0.612815303	2.362553802
B4DUI1		0.041538385	0.043140838	-0.046718026	1.365111423
B4DUQ1		0.000119769	0.00028767	0.611703211	3.541105427
B4DUV1		2.75E-05	7.75E-05	0.499128551	4.110698297
B4DVA8		0.014467132	0.017837611	-0.517134342	1.748663311
B4DVJ0		0.000350116	0.000729938	0.455733573	3.136714027
B4DVY5		0.04026288	0.042055963	-1.621822775	1.376172418
B4DXB3		0.000557022	0.001103352	0.380524234	2.957285913
B4DY09	ILF2	1.50E-07	7.28E-07	0.591150993	6.137868621
B4DY78		4.40E-07	1.88E-06	0.801506375	5.725842151
B4DZ53		0.004275471	0.006309274	0.57735326	2.200020612
B4DZE1		4.44E-05	0.000118834	-0.642916688	3.925059284
B4DZQ5		0.000358471	0.000743851	0.118044849	3.128514049
B4E0A4		3.14E-11	2.95E-10	-1.168428897	9.530177984
B4E0X8		0.015804418	0.019195951	0.196960296	1.716790367
B4E1B2		7.89E-12	8.39E-11	-1.222005165	10.07623804
B4E1E2		0.001427859	0.002496132	-2.683228113	2.602732452
B4E1Z4		1.07E-06	4.23E-06	-1.104620907	5.373659633
B4E299		8.20E-10	6.09E-09	0.44213231	8.215382707
B4E2F9		3.39E-15	6.25E-14	-2.004452636	13.20411998
B4E2L0		1.75E-15	3.31E-14	-0.855136231	13.48017201
B4E2S7		0.006082067	0.008559127	0.296441888	2.06757053
B4E3Q9		0.002386549	0.003864411	-1.001945593	2.41291669
B4E3S9		2.09E-08	1.20E-07	-1.532800821	6.920818754
B5BU08	U2AF1	0.00891648	0.011782084	-0.295532459	1.928777885
B5BU62	INPP1	0.000553982	0.001098034	-0.512341315	2.959384212
B5BU83	STMN1	7.68E-07	3.14E-06	0.319473627	5.503070352
B5BUB1	RUVBL1	2.64E-08	1.49E-07	0.445008107	6.826813732
B5BUB5	SSB	1.95E-09	1.35E-08	0.520846608	7.869666232
B5MDF5	RAN	9.88E-10	7.18E-09	0.590917559	8.143875556
B6EDE2	HEL180	7.28E-06	2.39E-05	-0.494748993	4.621602099
B7WP74	CWC22	0.010542852	0.013588955	-2.176382227	1.86681394
B7Z1H3		3.51E-16	7.24E-15	-1.568486427	14.14026143
B7Z3F8		0.00033985	0.000710449	-0.960318801	3.148467093
B7Z565		0.049911108	0.049927234	-1.210069504	1.301662493
B7Z591	TMCO1	9.41E-06	3.03E-05	0.646821699	4.518557371
B7Z5V0		2.62E-20	1.07E-18	-1.913302178	17.97061622
B7Z6C9		0.037061414	0.039121083	0.07561474	1.407589131
B7Z8E8		0.002830675	0.004450873	-1.250652852	2.351554798
B7Z992		0.002139374	0.003513793	-0.91322025	2.454223827
B7Z9B7		0.000317788	0.000668845	-1.11328945	3.174674515
B7ZB78	RAP1B	0.009360261	0.012310691	-0.942731686	1.909717569
B7ZKK7	EIF2AK2	1.77E-08	1.03E-07	0.574049969	6.987162775
B7ZKN7	BLM	5.81E-05	0.000150892	0.503726815	3.821333785
B7ZKW8	RCSD1	0.00013581	0.000320969	-0.209475176	3.493536911
B7ZL13	FNBP1	0.000687691	0.001318323	-0.513176994	2.879978171
B7ZL72	PRDM10	1.04E-06	4.16E-06	0.787669715	5.380906669
B7ZLP5	SAFB	0.000194511	0.000439246	0.436182189	3.357292185
B7ZLW8	MTR	0.021138544	0.024547986	-1.746855287	1.609984133
B8ZZA8	GLS	0.00290277	0.004545764	0.139942365	2.342393115
B8ZZQ6	PTMA	2.73E-06	9.86E-06	0.599683042	5.006123085
B9A6J2	RAB3GAP1	0.011423579	0.014578483	0.656334699	1.836287665
B9A6J6	TBC1D1	0.001769791	0.002995775	-0.755927928	2.523490808
B9EGA3	SMARCD2	0.001265339	0.002247555	0.447136929	2.648289672
B9EGI2	MPRIP	0.00704511	0.009659726	-1.134013639	2.015035192
B9VP24	HSPD1	0.000646717	0.001250617	0.494336273	2.902875672
C0JYY2	APOB	0.000256149	0.000558085	-0.799893631	3.25329965
C4B4C6	feat	0.00386403	0.005790434	-2.412745687	2.237288884
C5H6M5	COII	4.63E-07	1.97E-06	-0.836186967	5.705533774
C8C504	HBB	0.000473839	0.000949519	-1.192559576	3.022496341
C8XTN5	HLA-A	0.009226557	0.012155498	-0.813015821	1.915227244
C9J0K6	SRI	9.89E-06	3.16E-05	-0.556181396	4.500312917
C9J2H1	ITIH5	0.000161165	0.000371804	-0.473109303	3.429685942
C9J331	KBTBD8	9.97E-05	0.000244889	-1.128984852	3.611030722
C9JA08	NMD3	9.81E-05	0.00024126	0.681337434	3.617514677
C9JEE0	IGLL1	0.028075458	0.031037662	-0.500638595	1.508111001
C9JEJ2	PCYT1A	0.00778348	0.010495493	-1.096608554	1.978997157
C9JF17	APOD	0.000281556	0.000604506	-0.62578016	3.218599384
C9JFE4	GPS1	4.53E-06	1.56E-05	-2.601787548	4.806875402
C9JJ19	MRPS34	0.010016632	0.013019099	-0.803711257	1.885419071
C9JL73	ATP6V1B1	4.29E-14	6.71E-13	-1.659627951	12.17327748
C9JLU1	POLR2H	0.004238574	0.006263782	0.199076215	2.203163366
C9JNW5	RPL24	0.000722852	0.001378897	0.346315275	2.860468173
C9JXC6	SEC61A1	0.023209532	0.026592333	0.232778539	1.575243559
C9JZR2	CTNND1	0.012671527	0.015934626	-0.473619063	1.797658125
C9K0I4	TMEM50B	0.045839752	0.046688992	0.162180512	1.330785502
D1MQ10	KCNN4	2.29E-08	1.30E-07	1.757444853	6.886056648
D2CFK9	GTPBP4	2.58E-06	9.37E-06	0.436830237	5.028260409
D3DNT9	EPHB3	1.53E-06	5.87E-06	1.072904814	5.231361899
D3DP46	SPCS3	0.000815313	0.001522443	-0.829463588	2.817458958
D3DQH8	SPARC	6.55E-05	0.000168518	-1.501850494	3.773353704
D3DRP5	C9orf19	6.34E-22	3.17E-20	-1.405457078	19.49894074
D3DSM4	COL18A1	0.017866568	0.021332393	-0.462165866	1.670960424
D3DSQ1	ASAH1	0.00198524	0.003290819	-0.874659034	2.482696004
D3DSW3	PROSC	0.005388389	0.007709082	-1.544589193	2.112997335
D3DTH7	MYO1C	0.000115856	0.000280007	-1.023901653	3.552831111
D3DTQ7	hCG_2036579	0.000374233	0.000771389	-1.508829323	3.112726558
D3DTX7	COL1A1	2.49E-05	7.07E-05	-0.687434658	4.150580586
D3DU92	RNPS1	0.00020792	0.000465452	0.410761099	3.332125099
D3DUJ0	AFG3L2	0.000150378	0.00034979	-0.602993487	3.456192611
D3DUP1	WNK1	0.000485541	0.000971082	0.521761151	3.012744096
D3DVC4	NES	0.032232749	0.034843782	-0.318930618	1.457874712
D3DVF0	F11R	0.000274698	0.000592245	-0.46860952	3.227498597
D3DVH3	INPP4A	1.10E-05	3.49E-05	-0.652172491	4.457174573
D3DW85	IREB2	0.000150171	0.000349571	-2.253678242	3.456464603
D3DX01	ABP1	8.02E-11	7.10E-10	-1.325140453	9.148741651
D3GKD8	HBG1	1.27E-06	4.97E-06	-1.054670862	5.303643611
D3YTB5	IRAK1	0.007060645	0.009672459	-0.042732596	2.014463103
D4QEZ8	ACADS	7.44E-28	1.28E-25	-1.586648025	24.89279003
D5MQE1	RQCD1	0.003719453	0.005609073	0.360206088	2.251108908
D6R9H7	ATP5G1	0.007266902	0.009893725	0.241813501	2.004640165
D6R9P3	HNRNPAB	0.009645607	0.012600337	0.266952563	1.899617839
D6R9Z7	COX7C	6.03E-05	0.000155603	-0.873886995	3.807982034
D6RBI8	KIAA0141	0.000393867	0.000805424	-0.518980089	3.093975433
D6RCD0	HSD17B11	1.16E-07	5.75E-07	-0.765796454	6.240332155
D6RF35	GC	0.013725729	0.017059356	-1.162716873	1.768037368
D6RF48	STX18	0.007659883	0.010355895	-0.736853572	1.984812362
D6RGV5	COX7A2	2.98E-12	3.37E-11	-0.928163261	10.4723701
D6RHI9	RNASET2	0.013490254	0.016834271	-0.444097297	1.773805686
D6W4Z6	hCG_23833	4.36E-05	0.000117097	0.082381554	3.931454231
D6W5X3	SLC12A9	0.012065862	0.015287298	-1.415470709	1.815669269
D9IAI1	PEBP1	1.36E-05	4.21E-05	-0.633207648	4.375717904
D9YZU5	HBB	4.72E-22	2.40E-20	-1.494694931	19.61978876
D9YZU7	HBE1	4.91E-07	2.08E-06	-1.538166467	5.681936665
D9ZGF2	COL6A3	1.27E-15	2.50E-14	-1.057899085	13.60205999
D9ZGG2	VTN	0.003020684	0.004697157	-0.062614387	2.328164924
E1NZA1	PRIC295	0.024352945	0.027749988	-0.148975946	1.5567372
E2RVJ0	SLC4A1	6.79E-25	5.69E-23	-1.573844886	22.24488773
E5KNH5	NDUFV1	3.30E-23	2.32E-21	-1.049812118	20.63451202
E5KNY5	LRPPRC	0.008653092	0.01146831	0.207856659	1.940500576
E5KRG5	TYMP	1.29E-05	4.02E-05	0.360929139	4.395773947
E5KRK5	NDUFS1	3.28E-19	1.15E-17	-1.019693288	16.93930216
E5KS95	TSFM	0.000367681	0.000759399	0.373779716	3.119529979
E5KTI5	NTHL1	4.06E-08	2.19E-07	1.172721734	6.659555885
E5KTM5	TFB1M	0.044536066	0.04567919	-2.091525015	1.340281606
E5RFN6	ABCA10	0.029374334	0.032226414	-0.025659594	1.491788018
E5RGX5	STMN2	3.95E-05	0.000106853	0.673679798	3.97121328
E5RHW4	ERLIN2	0.000972966	0.001776121	-0.448620272	2.750527451
E7DVW4	FABP4	3.53E-17	8.55E-16	-1.612514073	15.06803389
E7ENY0	ADD1	6.25E-14	9.35E-13	-0.87010529	12.02918839
E7EPN9	PRRC2C	0.001459402	0.002538376	0.203554419	2.595444047
E7EPT4	NDUFV2	7.30E-14	1.08E-12	-0.927401395	11.96657624
E7EQ61	UBA5	0.03943243	0.041327964	-0.190882468	1.383755989
E7EQ69	NAA50	8.44E-09	5.13E-08	0.942211461	7.289882635
E7EQU1	HMGB3	9.54E-08	4.78E-07	1.010994593	6.320572103
E7ESY4	MTA1	0.000918887	0.001689354	0.193352935	2.772279336
E7ETH0	CFI	0.006961589	0.009562147	-0.260377766	2.019444584
E7ETR9	MROH8	0.000743235	0.001410825	0.163519022	2.850526853
E7EV09	DYNC1I2	0.02326434	0.026636981	0.175591127	1.574514999
E7EVQ6	SQLE	1.73E-07	8.25E-07	1.528037696	6.083546051
E7EWD6	ASXL2	0.011998116	0.015217603	-0.526793158	1.81765375
E7EX17	EIF4B	2.85E-16	6.00E-15	0.781456599	14.22184875
E7EX90	DCTN1	0.014658215	0.018037295	-0.356132846	1.743828592
E9KL23	SERPINA1	1.88E-13	2.58E-12	-1.186763481	11.58838029
E9KL26	SERPING1	3.05E-07	1.36E-06	-0.729346381	5.866461092
E9KL36	TTR	6.32E-13	7.99E-12	-0.912860472	11.09745322
E9KL48	GLUD1	0.001515433	0.002622571	-0.352246108	2.581272745
E9LUX2	HBA2	0.001642298	0.002810699	-1.918690542	2.551185661
E9PF18	HADH	2.04E-10	1.70E-09	-0.679542962	8.769551079
E9PHA2	NCAPH	8.37E-07	3.41E-06	-2.686228824	5.467245621
E9PI65	HSPA8	0.001256261	0.002235278	0.38104807	2.650668456
E9PIK4	TP53I11	0.00271719	0.004303028	-0.843361879	2.366225828
E9PJ42	TMEM41B	0.003894254	0.005832903	0.371994756	2.234115246
E9PKF6	PPP6R3	0.000328277	0.000688115	-2.909946112	3.162338975
E9PKG1	PRMT1	1.54E-11	1.54E-10	0.717130906	9.812479279
E9PLK3	NPEPPS	0.002006981	0.003319238	-0.413767974	2.478961606
E9PMC9	EMSY	7.57E-07	3.10E-06	0.509624023	5.508638306
E9PQY2	PFDN4	0.001985537	0.003290819	0.276404063	2.482696004
E9PQY3	ACP2	0.000818722	0.001526966	-0.677079442	2.816170633
E9PR30	FAU	0.034473256	0.036841284	0.137989159	1.433665242
E9PR44	CRYAB	1.83E-21	8.84E-20	-2.26940698	19.05354773
E9PRF4	SETDB1	0.02882566	0.031736929	0.333927432	1.4984351
F1C4A7	CD14	6.72E-05	0.00017248	-0.503454107	3.763261256
F1T0F7	CRABP1	0.012225839	0.015436867	0.262880014	1.811440838
F2Z2V0	CPNE1	3.20E-05	8.89E-05	0.41584556	4.051098239
F5GWH5	TMEM258	0.011719789	0.014895101	0.328537568	1.826956548
F5GXX5	DAD1	0.025135082	0.028472866	0.165669809	1.545568816
F5GYQ1	ATP6V0D1	0.008447455	0.011234244	0.173102759	1.949456148
F5GZS6	SLC3A2	1.24E-16	2.77E-15	1.1736692	14.55752023
F5H1U9	MPDZ	0.006394289	0.008917441	-1.306555893	2.049759755
F5H496	CLDN7	2.28E-09	1.54E-08	-0.852722317	7.812479279
F5H5I6	GRSF1	0.004010569	0.005972449	0.737870575	2.22384755
F5H6U7	GOLT1B	0.000297135	0.000632689	0.329796798	3.198809716
F5H8F7	ASH2L	0.042905788	0.044367645	0.910743599	1.352933623
F6KPG5		3.25E-09	2.12E-08	-1.011342056	7.673664139
F8VP50		0.004956705	0.007177717	-0.880628614	2.144013669
F8VUA2	CHMP1A	0.033149881	0.035691324	0.246984435	1.447437341
F8VZX2	PCBP2	0.007372312	0.010006435	0.067097219	1.999720621
F8W038	C17orf49	4.87E-05	0.000129002	0.608645149	3.889403557
F8W1U3	KRT8	2.06E-05	6.02E-05	0.994236638	4.220403509
F8W7Q4	FAM162A	7.79E-18	2.17E-16	-1.087333143	15.66354027
F8W8W7	TGOLN2	0.026237626	0.029474488	0.290872013	1.53055373
G0XQ39	STIM1	0.002771481	0.004368893	-1.414504902	2.359628592
G1FM90		0.001073909	0.001942069	-0.529040485	2.711735344
G3V145	SDR16C5	0.000221502	0.000491943	-0.472079001	3.308085215
G3V1C3	API5	0.041339513	0.042977546	0.062529461	1.366758386
G3V2Q1	HNRNPC	0.000198862	0.000448091	0.254600009	3.348633779
G3V2U7	ACYP1	0.04789186	0.048328943	-0.08477507	1.315792703
G3V325	ATP5J2-PTCD1	8.00E-09	4.88E-08	-0.70120894	7.311580178
G3V3A5	TTC6	3.41E-05	9.41E-05	0.395869155	4.026410377
G8JLB3	PUS1	0.000186049	0.000421676	0.485192831	3.375021116
G8JLB6	HNRNPH1	1.66E-05	4.98E-05	0.25193137	4.302770657
H0UI80	TH1L	0.004800207	0.006983544	-1.289740254	2.155924126
H0UI95	hCG_2044836	3.79E-05	0.000102819	1.960186313	3.987926624
H0UIA1	ACSS2	5.40E-13	6.96E-12	-1.034244555	11.15739076
H0Y3N9	PHF8	0.020965423	0.024420222	-1.060139155	1.612250392
H0Y5B0	EPB41L2	3.49E-05	9.59E-05	1.648700991	4.018181393
H0Y886	NDUFB5	1.31E-06	5.10E-06	-0.687738431	5.292429824
H0Y9K7	SFPQ	0.000261216	0.000568324	0.929737075	3.245404004
H0YAC1	KLKB1	0.000559709	0.001107258	-0.795514356	2.955751173
H0YGR4	REXO2	0.024491974	0.027867384	-2.19233605	1.554903798
H1AE11		0.013784707	0.017122782	-0.089216529	1.766425673
H3BN02	ITGAX	0.003640193	0.005521822	0.501402396	2.257917597
H3BSH7	UTP4	0.042122434	0.043688795	-1.879864668	1.359629934
H3BUX2	CYB5B	0.000398608	0.000814582	0.471010336	3.089065191
H3BVF7	TMEM62	0.005986357	0.008447476	-1.050164189	2.073273033
H6T474	HLA-A	0.044849184	0.045871515	0.542638705	1.338456916
H6X377	HLA-DQA1	0.001457206	0.002537407	-0.671607442	2.595609866
H7BXD5	GCA	3.45E-12	3.90E-11	1.198096105	10.40893539
H7BXR3	SORBS2	7.58E-15	1.32E-13	-1.904426753	12.87942607
H7C0X4	ALG3	0.038455164	0.04044062	0.254452607	1.393182195
H7C2Q8	EBNA1BP2	0.000429852	0.000868682	-2.435746845	3.061139177
H7C422	RPL3	0.043985135	0.045226828	0.326955872	1.344603871
H9T056	COX2	6.63E-11	5.93E-10	-0.731711129	9.226945307
I3L0N3	NSF	0.000671577	0.001289027	-0.353250703	2.889737986
I3L1P8	SLC25A11	2.23E-10	1.84E-09	-0.637759212	8.735182177
I4AY87	MIF	0.004738207	0.006909793	0.28463799	2.160534963
I6L9E8	FAM98A	0.000772815	0.001458923	0.40050207	2.835967629
I6PRP7	COII	3.36E-11	3.15E-10	-0.933949613	9.501689446
I6TRR8		1.26E-06	4.94E-06	-1.078317884	5.306273051
J3K000	PEPD	0.002621941	0.004173538	-0.390348754	2.379495628
J3KNF4	CCS	0.029955617	0.032759658	-0.48034947	1.484660641
J3KNF8	CYB5B	0.000184643	0.000418795	0.199859652	3.377998512
J3KNL6	SEC16A	0.035154067	0.037413885	-0.028915494	1.426967193
J3KNQ4	PARVA	0.009436324	0.012384425	-0.73260276	1.907124153
J3KNS1	AGTPBP1	0.002925658	0.004570049	-0.308878342	2.340079143
J3KPF0	HECTD4	0.001379518	0.002422053	-0.556233174	2.615816358
J3KPP4	LUC7L3	0.004802314	0.006983544	-0.684574833	2.155924126
J3KQ32	OLA1	0.001075579	0.001943955	0.191292798	2.711313793
J3KQL8	APOL2	1.47E-09	1.04E-08	0.42832439	7.982966661
J3KSS8	SLC47A1	0.00523784	0.007531979	-0.470481758	2.1230909
J3KTA4	DDX5	3.47E-08	1.91E-07	0.470579691	6.718966633
J3KTE4	RPL19	0.00395568	0.005904911	0.110548421	2.228786644
J3KTL2	SRSF1	1.62E-08	9.47E-08	0.465360814	7.023650021
J3QKQ4	CD300A	1.38E-05	4.26E-05	0.385677702	4.370590401
J3QLB2	SLC39A11	0.027018475	0.030165596	-0.288650881	1.52048809
J3QQW9	SUZ12	0.001369667	0.002409368	-0.733566179	2.618096862
J3QRS9	ZNF207	0.001089121	0.00196728	0.200757713	2.706133823
J3QRV5	LLGL2	0.000904997	0.001666945	-0.505704912	2.778078729
K7EJH8	ACTN4	0.004241853	0.006265638	-0.977619026	2.2030347
K7EKS1	POLR2I	0.021130175	0.024547475	0.451897196	1.609993174
K7ELB8	PLEKHF1	0.024728547	0.028084953	-0.49360369	1.551526299
K7ELC2	RPS15	0.00146698	0.002550123	0.176887535	2.593438872
K7ELG9	LSM12	5.46E-05	0.000142653	0.426544877	3.845719091
K7ELL7	PRKCSH	0.00787213	0.010576582	0.083985022	1.975654659
K7ELP0	TPM4	0.000605975	0.001185154	-0.088381106	2.926225213
K7ENP1	TRMT11	0.000311705	0.00065873	-1.045999956	3.181292557
K7ENT6	TPM4	2.05E-15	3.82E-14	-1.169795589	13.41793664
K7EP90	RBM42	0.002555748	0.004087085	0.232939892	2.38858633
K7ER15	HDHD2	1.74E-07	8.25E-07	-0.721612311	6.083546051
K7ERG9	CFD	9.64E-07	3.89E-06	-0.538772479	5.410050399
K7WVJ5	COX2	0.021828762	0.025245367	-0.883895593	1.597818311
K9JA46	EL52	5.21E-05	0.000137215	0.248343885	3.86259841
L0R512	NCAM2	0.002739813	0.004332207	-0.466543571	2.3632908
L0R5D5	TMEM70	3.30E-06	1.17E-05	0.583317366	4.931814138
L7RRS0	PIK3C2A	1.31E-07	6.41E-07	0.934634792	6.19314197
L7RXH5	MAPK3	2.47E-09	1.66E-08	-0.706861625	7.779891912
L8EAT9	BTLA	0.002592685	0.004130886	0.209189664	2.38395679
M0QY43	MYH14	1.47E-05	4.47E-05	-0.553377312	4.349692477
M0R346	PRKD2	0.000606833	0.001186082	-1.302101172	2.925885285
M1VE83	SDC4-ROS1_S4;R34	0.015835435	0.019218544	-0.46261576	1.716279518
O00139	KIF2A	2.09E-06	7.70E-06	0.695884591	5.113509275
O00148	DDX39A	0.000425729	0.000860912	0.286725195	3.065041239
O00151	PDLIM1	0.02639738	0.02960025	-0.387862493	1.528704621
O00159	MYO1C	2.32E-14	3.78E-13	-0.99701305	12.4225082
O00186	STXBP3	0.027709172	0.030726216	-0.265114336	1.512490921
O00193	SMAP	3.98E-06	1.39E-05	0.945657914	4.8569852
O00194	RAB27B	0.003761335	0.005663956	-0.899401684	2.246880129
O00204	SULT2B1	0.002761206	0.00435633	-0.729860245	2.360879229
O00231	PSMD11	5.54E-06	1.87E-05	0.47500752	4.728158393
O00264	PGRMC1	0.042323041	0.043862662	0.067353415	1.357905015
O00267	SUPT5H	0.005356784	0.007674504	-3.560514971	2.114949683
O00299	CLIC1	0.000108841	0.000264292	0.281080856	3.577915983
O00330	PDHX	0.004820485	0.007000624	-0.433127844	2.154863247
O00425	IGF2BP3	0.026696216	0.029881231	0.169165896	1.524601515
O00442	RTCA	0.047001262	0.047647645	-0.559825131	1.32195856
O00461	GOLIM4	0.04745356	0.047980477	-1.547152058	1.318935439
O00462	MANBA	7.03E-07	2.91E-06	-1.065119078	5.536107011
O00487	PSMD14	0.045940346	0.046747153	-0.093102806	1.330244833
O00507	USP9Y	3.82E-13	5.05E-12	-1.354883679	11.29670862
O00515	LAD1	2.86E-06	1.03E-05	-2.126974688	4.987162775
O00567	NOP56	7.87E-07	3.21E-06	0.349252528	5.493494968
O00762	UBE2C	1.02E-08	6.17E-08	1.636317406	7.209714836
O00763	ACACB	0.009828617	0.012812378	1.772311726	1.892370257
O14493	CLDN4	0.000757044	0.001433521	-0.598575967	2.843595941
O14530	TXNDC9	8.08E-05	0.000202558	0.5584539	3.6934506
O14548	COX7A2L	2.16E-07	1.00E-06	-1.223949697	6
O14558	HSPB6	2.73E-10	2.21E-09	-1.976505803	8.655607726
O14737	PDCD5	0.025208916	0.028515456	0.164307729	1.544919679
O14744	PRMT5	0.009505719	0.012454382	0.153407562	1.904677818
O14745	SLC9A3R1	0.00135421	0.002387606	-0.624955495	2.622037338
O14776	TCERG1	0.002355354	0.003817893	0.108838442	2.418176247
O14828	SCAMP3	4.77E-11	4.34E-10	0.815074488	9.36251027
O14917	PCDH17	0.022136933	0.025544519	-0.803644037	1.592702271
O14925	TIMM23	0.034922891	0.037197213	0.005095823	1.429489598
O14929	HAT1	1.98E-06	7.37E-06	0.909742141	5.132532512
O14933	UBE2L6	0.01233916	0.015567253	0.058153066	1.807788016
O14936	CASK	0.029388593	0.032230636	-0.939530873	1.491731125
O14949	UQCRQ	0.000678142	0.001300823	-0.508540336	2.885781793
O14957	UQCR11	0.000206388	0.000463026	-0.62519989	3.334394622
O14980	XPO1	1.92E-05	5.65E-05	0.182562804	4.247951552
O15031	PLXNB2	0.005702865	0.008095402	-1.323340327	2.09176158
O15042	U2SURP	0.001033806	0.001876122	0.255539601	2.726738924
O15066	KIF3B	0.001851561	0.003105326	-1.709960514	2.5078928
O15111	CHUK	0.039279201	0.041209219	0.197187927	1.385005616
O15127	SCAMP2	7.17E-05	0.000182306	-0.526037186	3.739199038
O15145	ARPC3	0.002031218	0.003352159	0.181905992	2.47467539
O15160	POLR1C	0.003469332	0.00529899	0.326216902	2.2758069
O15173	PGRMC2	0.00955895	0.012508246	-0.145380911	1.902803586
O15212	PFDN6	6.50E-08	3.37E-07	0.497268761	6.472370099
O15230	LAMA5	0.013464193	0.016808525	-0.841746714	1.774470396
O15247	CLIC2	9.12E-14	1.33E-12	-1.055579448	11.87614836
O15260	SURF4	0.003374735	0.005169808	0.203830768	2.286525586
O15294	OGT	0.022511932	0.025900015	-1.259549112	1.586699984
O15355	PPM1G	0.000155316	0.000360462	-0.424587284	3.443140512
O15382	BCAT2	1.01E-13	1.45E-12	-0.835940817	11.838632
O15438	ABCC3	3.04E-09	1.99E-08	-1.017286256	7.701146924
O15551	CLDN3	2.09E-06	7.71E-06	-0.644367192	5.112945622
O43143	DHX15	1.35E-05	4.19E-05	0.482411275	4.377785977
O43172	PRPF4	0.000325554	0.000682869	0.360456126	3.165662602
O43175	PHGDH	0.01972111	0.023250783	-0.237034582	1.633562417
O43242	PSMD3	0.030886645	0.033599808	-0.049852042	1.473663204
O43290	SART1	2.78E-05	7.81E-05	0.288786625	4.107348966
O43294	TGFB1I1	0.01126808	0.014391904	-1.157160633	1.841881747
O43301	HSPA12A	1.70E-07	8.09E-07	-0.415338292	6.092051478
O43324	EEF1E1	5.90E-05	0.000152859	0.422581303	3.815708986
O43395	PRPF3	0.000244949	0.000537084	-0.761580645	3.269957785
O43399	TPD52L2	0.001986609	0.003290819	0.155781982	2.482696004
O43592	XPOT	0.008849775	0.011708932	-0.035868938	1.931482716
O43657	TSPAN6	0.011032227	0.014143178	0.833516154	1.849452993
O43719	HTATSF1	2.76E-05	7.77E-05	0.62436884	4.109578981
O43752	STX6	0.017607376	0.021063537	0.211576896	1.6764687
O43765	SGTA	6.20E-06	2.06E-05	0.546951915	4.68613278
O43772	SLC25A20	4.28E-09	2.72E-08	-0.975460017	7.565431096
O43776	NARS	0.020186129	0.023681794	-0.325781718	1.625585401
O43852	CALU	1.75E-05	5.21E-05	-0.0047123	4.283162277
O43920	NDUFS5	1.37E-08	8.09E-08	-3.072853291	7.092051478
O60220	TIMM8A	0.000357244	0.000741803	0.424184469	3.129711415
O60262	GNG7	1.33E-05	4.14E-05	-0.696241016	4.382999659
O60294	LCMT2	0.02713515	0.030255891	-0.870639864	1.519190053
O60343	TBC1D4	0.046933533	0.047610163	-1.673347172	1.322300332
O60493	SNX3	2.40E-06	8.78E-06	0.278868886	5.056505484
O60506	SYNCRIP	2.43E-07	1.11E-06	0.373493343	5.954677021
O60563	CCNT1	0.027848862	0.030836937	-0.226543768	1.510928766
O60568	PLOD3	5.53E-07	2.33E-06	0.31352013	5.632644079
O60635	TSPAN1	0.033015018	0.035590006	-0.289522153	1.448671939
O60664	PLIN3	0.00018013	0.000409758	0.346970573	3.387472559
O60701	UGDH	3.38E-22	1.81E-20	-1.502883507	19.74232143
O60869	EDF1	1.21E-13	1.70E-12	1.168169458	11.76955108
O60925	PFDN1	0.04052509	0.042230117	-0.027392808	1.374377715
O75083	WDR1	0.007220142	0.009843047	-0.417209038	2.006870441
O75116	ROCK2	5.08E-05	0.000134198	-0.588445638	3.872253957
O75170	PPP6R2	0.003527325	0.005361118	-0.129432941	2.270744634
O75251	NDUFS7	7.54E-10	5.64E-09	-0.894122089	8.248720896
O75306	NDUFS2	3.87E-13	5.09E-12	-0.829833224	11.29328222
